Name,Location,Image
Abu Simbel,Egypt,https://cdn.britannica.com/49/189749-050-EDADDEC0/Great-Temple-of-Ramses-II-temples-larger.jpg
Le Cimetière de Père Lachaise,France,https://cdn.generationvoyage.fr/2019/10/allee-du-cimetiere-du-pere-lachaise.jpg
Big Sur,USA,https://lp-cms-production.imgix.net/2019-06/28206231.jpg
Matterhorn,Switzerland,https://upload.wikimedia.org/wikipedia/commons/6/60/Matterhorn_from_Domh%C3%BCtte_-_2.jpg
Gamla Stan,Sweden,https://imageio.forbes.com/specials-images/imageserve/1154990774/0x0.jpg?format=jpg&width=1200
Okavango Delta,Botswana,https://cdn.theculturetrip.com/wp-content/uploads/2018/07/photo-1531208853003-c1ec1b8a81d7.jpg
Golden Gate Bridge,USA,https://upload.wikimedia.org/wikipedia/commons/0/0c/GoldenGateBridge-001.jpg
Dashashwamedh Ghat,India,https://www.varanasiguru.com/wp-content/uploads/2021/03/Dashashwamedh-Ghat.jpg
Giant's Causeway,Northern Ireland,https://media.tacdn.com/media/attractions-splice-spp-674x446/07/78/32/b3.jpg
Auschwitz Memorial / Muzeum Auschwitz,Poland,https://cdn-imgix.headout.com/tour/19354/TOUR-IMAGE/185d5215-3983-49f2-a675-024b028a2e4f-10427-krakow-auschwitz---birkenau---full-day-guided-tour-from-krakow-01.jpg?auto=compress%2Cformat&h=573&q=75&fit=crop&ar=16%3A9&fm=webp
Parque Nacional Corcovado,Costa Rica,https://d2xuzatlfjyc9k.cloudfront.net/wp-content/uploads/2018/03/Piedras-Blancas-National-Park.jpg
Niagara Falls,Canada and USA,https://cdn.getyourguide.com/img/location/60096cdee428e.jpeg/99.jpg
Potala Palace Lhasa,China,https://images.chinahighlights.com/allpicture/2017/10/6811a1af6d094722ad000b78_cut_800x500_70.jpg
Bora Bora,Society Islands of French Polynesia,"https://digital.ihg.com/is/image/ihg/intercontinental-bora-bora-5255821599-2x1?fit=fit,1&wid=2400&hei=1200&qlt=85,0&resMode=sharp2&op_usm=1.75,0.9,2,0"
Empire State Building,USA,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Empire_State_Building_%28aerial_view%29.jpg/800px-Empire_State_Building_%28aerial_view%29.jpg
Budapest,Hungary,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/36/37/32/caption.jpg?w=700&h=500&s=1
Topkapi Palace,Turkey,https://www.themarmarahotels.com/hs-fs/hubfs/Explore%20Images/Explore%20Istanbul/topkapipalace2.jpg?width=1500&name=topkapipalace2.jpg
Historic Centre (Old Town) of Tallinn,Estonia,https://www.campingbaltic.com/media/cache/thumb_729x486/uploads/location/61e81a8290fa4256538225.jpg
Stari Most Bridge,Bosnia and Herzegovina,https://ak.jogurucdn.com/media/image/p25/place-2016-12-8-5-7946cbaf74682a38f6b7fd1ab1f2e6f1.jpg
Ayuthaya,Thailand,"https://www.tripsavvy.com/thmb/5Hd67PZyTcVX7xR-vG08cNZHWs4=/3864x2577/filters:fill(auto,1)/wat-chaiwatthanaram-154952905-5ab948870e23d90037649033.jpg"
Vatican Museum,Vatican City,"https://media.cntraveler.com/photos/5edeb3dad0ee55c69ea95b58/5:4/w_2500,h_2000,c_limit/VaticanMuseumInterior-BJPA09.jpg"
Anakena Beach,Chile,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d0/18/1b/photo1jpg.jpg?w=1200&h=-1&s=1
The Peak,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c9/50/88/photo3jpg.jpg?w=1200&h=1200&s=1
St. Paul's Cathedral,England,https://keyassets.timeincuk.net/inspirewp/live/wp-content/uploads/sites/8/2021/06/ig2CLI311.cover_.B6E7HC.jpg
Meteora,Greece,https://cdn.theatlantic.com/media/img/photo/2018/04/travel-monday-a-photo-trip-to-meteo/m01_194088302-1/original.jpg
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,https://whc.unesco.org/uploads/thumbs/site_0704_0007-1200-630-20131203162349.jpg
Copper Canyon,Mexico,https://cdn.theculturetrip.com/wp-content/uploads/2018/05/16698750125_578be38d4e_k.jpg
Monte Fitz Roy El Chalten,Argentina and Chile,https://cdn2.civitatis.com/argentina/el-chalten/trekking-2-dias-monte-fitz-roy-grid.jpg
